TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,HB,EB-B,CDS,PST,PH,PTE-UC,FE-JONS,PORE,PDP,POSI,UCE,F.N.,PNCL-PANCAL,AP,PAR,PED,CIU,BNG,AIC,UV,LA,P.A.,EA...(E87),PNV...(E87),ANEMYA,LV,C.V.,EE...(E87),E.U.,PCV,AS,CSD
Gipuzkoa,LEGORRETA,,52,3,1215,997,6,991,10,981,218,94,264,2,8,0,0,5,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0,80,256,0,2,0,233,0,0,0,2
Álava,LEGUTIO,,58,2,993,727,6,721,5,716,266,107,168,1,3,0,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,167,217,0,0,1,32,0,0,1,0
Gipuzkoa,LEINTZ-GATZAGA,,68,4,164,139,1,138,,138,25,1,57,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,61,14,0,0,0,1,0,0,0,0
Bizkaia,LEIOA,,54,4,16522,10897,74,10823,108,10715,5625,2047,1849,179,375,26,5,53,4,8,10,12,13,14,12,492,2,2,1,4,2,2,0,2,1100,3098,32,27,6,1306,2,0,19,11
Bizkaia,LEKEITIO,,57,4,5764,4395,20,4375,19,4356,1369,41,1434,5,1,0,0,1,0,0,0,0,1,11,0,46,0,0,0,0,0,0,0,0,1211,1325,1,4,1,274,0,0,0,0
Bizkaia,LEMOA,,55,3,2279,2007,17,1990,15,1975,272,67,346,6,4,2,0,1,1,0,2,3,2,1,0,60,1,0,0,1,0,1,0,1,575,824,0,3,6,67,0,0,0,1
Bizkaia,LEMOIZ,,56,4,636,523,2,521,8,513,113,5,142,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56,260,0,0,1,44,0,0,0,0
Álava,LEZA,,34,2,179,153,3,150,2,148,26,34,10,1,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,53,27,0,0,0,7,0,0,0,1
Bizkaia,LEZAMA,,81,4,1452,1094,7,1087,10,1077,358,27,260,1,5,1,0,1,1,1,0,0,0,0,1,25,1,0,0,0,0,0,0,0,65,641,0,1,2,43,0,0,1,0
Gipuzkoa,LEZO,,53,2,3960,2787,25,2762,16,2746,1173,474,1105,23,24,2,0,2,0,0,0,4,1,0,0,53,0,3,0,0,0,0,0,0,617,160,1,2,1,270,1,0,0,3
Gipuzkoa,LIZARTZA,,54,3,554,491,1,490,1,489,63,0,276,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,186,17,0,0,0,8,0,0,0,0
Bizkaia,LOIU,,903,4,1520,1058,3,1055,4,1051,462,13,122,3,17,0,0,0,0,0,0,0,0,3,0,89,0,0,0,0,0,0,1,1,180,532,16,1,3,66,0,0,4,0
Bizkaia,MALLABIA,,58,3,849,656,1,655,8,647,193,67,230,1,2,1,2,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,54,237,3,5,1,31,0,1,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,3964,383,22,361,24,337,3581,0,98,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,57,164,0,0,0,6,0,0,0,0
Bizkaia,MARURI-JATABE,,61,4,388,325,1,324,1,323,63,5,47,1,2,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,85,152,0,1,2,17,0,0,0,0
Bizkaia,MAÑARIA,,59,3,422,339,3,336,6,330,83,0,97,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,57,164,0,0,0,6,0,0,0,0
