TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,POSI,UCE,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,LV-GV,ARALAR,ATTKA/PACMA,PUM+J,PFYV,EB / ARALAR,URE-EEB,UPYD,BILDU,H1!,PLIN,PSYV,EB-B/INDAZ,ESKUBI-SQ2/EB-B,IND. AIARA 11,IND. LAUDIO 11,IND. OKONDO 11,IND. VALDEGOVIA 11,IND. ALEGRIA-DUL. 11,IND. ARAMAIO 11,IND. ASPARRENA 11,IND. AÑANA 11,IND. BERANTEVILLA 11,IND. ELCIEGO 11,IND. 1 IRUÑA OKA 11,IND. 2 IRUÑA OKA 11,IND. 1 LABASTIDA 11,IND. 2 LABASTIDA 11,IND. 3 LABASTIDA 11,IND. LAGRAN 11,IND. PEÑACERRADA 11,IND. AGURAIN 11,IND. DONEMILIAGA 11,IND. VITORIA-G. 11,IND. ZALDUONDO 11,IND. ZAMBRANA 11,IND. ZIGOITIA 11,IND. ZUIA 11,IND. BALMASEDA 11,IND. GORDEXOLA 11,IND. KARRANTZA 11,IND. SOPUERTA 11,IND. TURTZIOZ 11,IND. ALONSOTEGI 11,IND. BARRIKA 11,IND. ETXEBARRI 11,IND. GALDAKAO 11,IND. GETXO 11,IND. GORLIZ 11,IND. LAUKIZ 11,IND. 1 MUSKIZ 11,IND. 2 MUSKIZ 11,IND. ORTUELLA 11,IND. PLENTZIA 11,IND. 1 SESTAO 11,IND. 2 SESTAO 11,IND. ZARATAMO 11,IND. ZIERBENA 11,IND. ABADIÑO 11,IND. ARTEA 11,IND. GARAI 11,IND. IGORRE 11,IND. OROZKO 11,IND. UBIDE 11,IND. AMOROTO 11,IND. BERRIATUA 11,IND. ERRIGOITI 11,IND. GATIKA 11,IND. GIZABURUAGA 11,IND. IBARRANGELU 11,IND. ISPASTER 11,IND. MUNGIA 11,IND. MURUETA 11,IND. MUXIKA 11,IND. SUKARRIETA 11,IND. AZKOITIA 11,IND. 1 BEIZAMA 11,IND. 2 BEIZAMA 11,IND. BIDEGOIAN 11,IND. 1 DEBA 11,IND. 2 DEBA 11,IND. ERREZIL 11,IND. EZKIO-ITSASO 11,IND. 1 GABIRIA 11,IND. 2 GABIRIA 11,IND. MUTILOA 11,IND. 1 ORMAIZTEGI 11,IND. 2 ORMAIZTEGI 11,IND. SEGURA 11,IND. ZEGAMA 11,IND. ZERAIN 11,IND. ESKORIATZA 11,IND. ASTIGARRAGA 11 ,IND. LASARTE-ORIA 11,IND. ORIO 11,IND. ABALTZISKETA 11,IND. ALKIZA 11,IND. ALTZAGA 11,IND. AMEZKETA 11,IND. ARAMA 11,IND. 1 ASTEASU 11,IND. 2 ASTEASU 11,IND. ATAUN 11,IND. 1 BELAUNTZA 11,IND. 2 BELAUNTZA 11,IND. BERROBI 11,IND. GAINTZA 11,IND. GAZTELU 11,IND. HERNIALDE 11,IND. IDIAZABAL 11,IND. 1 LARRAUL 11,IND. 2 LARRAUL 11,IND. LEABURU 11,IND. LEGORRETA 11,IND. LIZARTZA 11,IND. 1 OLABERRIA 11,IND. 2 OLABERRIA 11,IND. ORENDAIN 11,IND. ZALDIBIA 11,IND. LEINTZ-GATZ. 11
Bizkaia,ISPASTER,,49,4,570,469,7,462,5,457,101,240,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ITSASONDO,,47,3,498,299,8,291,31,260,199,,11,,,,,,,14,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IURRETA,,910,3,3091,1979,30,1949,30,1919,1112,691,186,,66,,,,,337,,,,,,,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,IZURTZA,,50,3,216,191,3,188,1,187,25,62,1,,,,,,,1,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2414,1838,31,1807,21,1786,576,727,31,,,,,,,96,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,KORTEZUBI,,907,4,349,307,,307,3,304,42,167,1,,,,,,,1,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,KRIPAN,,19,2,155,126,4,122,2,120,29,87,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,KUARTANGO,,20,2,318,248,7,241,6,235,70,104,35,,,,,,,5,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LABASTIDA/BASTIDA,,28,2,1101,877,20,857,13,844,224,,360,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,57,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAGRÁN,,30,2,171,171,4,167,2,165,,83,15,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAGUARDIA,,31,2,1247,1075,42,1033,16,1017,172,311,519,,,,,,,41,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,537,423,17,406,16,390,114,186,132,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LANESTOSA,,51,2,221,190,,190,1,189,31,84,2,,,,,,,44,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LANTARÓN,,902,2,783,521,12,509,12,497,262,169,147,,25,,,,,35,,,,46,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAPUEBLA DE LABARCA,,33,2,687,564,9,555,18,537,123,254,128,,,,,,,57,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LARRABETZU,,52,4,1530,1257,22,1235,23,1212,273,475,13,,,,,,,11,,,,,,,,,,,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LARRAUL,,48,3,173,149,1,148,1,147,24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,61,,,,,,,,
Gipuzkoa,LASARTE-ORIA,,902,1,14190,9098,111,8987,167,8820,5092,1091,785,,199,,,,,3147,,,,152,,,,,,,2168,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LAUDIO/LLODIO,,36,3,15340,9990,142,9848,169,9679,5350,2835,1066,,214,,,,,1167,,,,325,,29,,,,,3145,,,,,,,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LAUKIZ,,53,4,881,680,7,673,7,666,201,316,52,,,,,,,24,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LAZKAO,,49,3,4096,2671,20,2651,78,2573,1425,921,78,,,,,,,285,,,,,,,,,,,1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEABURU,,50,3,294,253,3,250,3,247,41,,0,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,
Gipuzkoa,LEGAZPI,,51,3,7074,4652,50,4602,95,4507,2422,1093,223,,116,,,,,669,,,,,,,,,,,2002,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEGORRETA,,52,3,1164,883,6,877,20,857,281,,15,,,,,,,20,,,,,,,,,,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,
Álava,LEGUTIO,,58,2,1328,858,15,843,18,825,470,211,45,,,,,,,74,,,,,,,,,,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,202,133,4,129,7,122,69,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
Bizkaia,LEIOA,,54,4,23794,14556,318,14238,430,13808,9238,5502,2129,,810,,,,,2402,,,,377,,,,,,,2462,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEKEITIO,,57,4,5958,4602,28,4574,50,4524,1356,1615,51,,,,,,,34,,,,282,,,,,,,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEMOA,,55,3,2610,1928,56,1872,47,1825,682,731,80,,,,,,,185,,,,,,,,,,,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEMOIZ,,56,4,841,635,6,629,15,614,206,346,10,,,,,,,3,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,LEZA,,34,2,177,137,4,133,1,132,40,76,9,,,,,,,47,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,LEZAMA,,81,4,1954,1429,25,1404,40,1364,525,603,64,,31,,,,,90,,,,,,,,,,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LEZO,,53,2,4840,2628,45,2583,84,2499,2212,478,123,,75,,,,,260,,,,120,,,,,,,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LIZARTZA,,54,3,489,406,9,397,30,367,83,,37,,,,,,,,,,,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Bizkaia,LOIU,,903,4,1905,1360,40,1320,58,1262,545,756,147,,,,,,,59,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MALLABIA,,58,3,986,726,8,718,11,707,260,301,12,,,,,,,31,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MARKINA-XEMEIN,,60,4,3713,2601,12,2589,25,2564,1112,1221,29,,,,,,,27,,,,255,,,,,,,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MARURI-JATABE,,61,4,756,576,15,561,14,547,180,321,14,,,,,,,14,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MAÑARIA,,59,3,430,342,4,339,4,335,88,156,2,,,,,,,4,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MENDARO,,901,4,1474,935,31,904,32,872,539,315,36,,,,,,,86,,,,,,,,,,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDATA,,62,4,316,279,1,278,3,275,37,174,5,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDEXA,,63,4,360,311,2,309,3,306,49,156,0,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MEÑAKA,,64,4,592,514,9,505,13,492,78,150,3,,,,,,,1,,,,,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,210,182,4,178,3,175,28,78,42,,,,,,,69,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MORGA,,66,4,359,299,2,297,2,295,60,161,2,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNDAKA,,68,4,1590,1265,18,1247,11,1236,325,756,8,,,,,,,21,,,,,,,,,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNGIA,,69,4,12370,8545,124,8421,102,8319,3825,3747,264,,211,,,,,433,,,,283,,,,,,,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,362,288,7,281,4,277,74,147,0,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MURUETA,,908,4,243,230,3,227,6,221,13,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUSKIZ,,71,2,6100,4391,82,4309,70,4239,1709,1473,109,604,,,,,,707,,,,,,,,77,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MUTILOA,,57,3,191,140,4,136,6,130,51,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MUTRIKU,,56,4,3996,2816,32,2784,34,2750,1180,822,57,,,,,,,46,242,,,,,,,,,,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUXIKA,,67,4,1219,974,6,968,5,963,245,411,6,,,,,,,7,,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,NABARNIZ,,909,4,199,184,4,180,2,178,15,72,0,,,,,,,,,,,11,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,NAVARIDAS,,41,2,158,108,17,91,11,80,50,35,35,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OIARTZUN,,63,2,7917,5302,55,5247,84,5163,2615,691,125,,,,,,,167,,,,237,,,,,,,3356,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,OKONDO,,42,3,919,829,11,818,12,806,90,188,12,,,,,,,2,,,,,,,,,,,411,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OLABERRIA,,58,3,779,583,7,576,11,565,196,50,21,,,,,,,23,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,106,,,
Bizkaia,ONDARROA,,73,4,7134,4985,72,4913,127,4786,2149,1531,184,,,,,,,114,,,,,,,,,,,2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORDIZIA,,76,3,7026,4714,36,4678,82,4596,2312,1419,222,,114,,,,,546,,,,219,,,,,,,1949,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORENDAIN,,905,3,142,124,2,122,,122,18,,0,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,
Gipuzkoa,OREXA,,60,3,93,93,1,92,,92,,,0,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORIO,,61,4,3992,2951,19,2932,43,2889,1041,1268,38,,,,,,,113,,,,37,,,,,,,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORMAIZTEGI,,62,3,1009,754,7,747,15,732,255,,12,,,,,,,13,,,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OROZKO,,75,3,1899,1549,6,1522,6,1516,350,535,62,,,,,,,7,,,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ORTUELLA,,83,2,7057,4623,87,4536,137,4399,2434,1580,208,,184,,,,,1149,,,,,,,,,,,1035,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OTXANDIO,,72,3,1008,801,14,787,22,765,207,219,15,,,,,,,9,,,,,,,,,,,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,OYÓN-OION,,43,2,2346,1628,34,1594,23,1571,718,480,665,,,,,,,160,,,,22,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OÑATI,,59,4,8822,6363,38,6325,38,6287,2459,1936,203,,190,,,,,238,,,,230,,,,,,,3308,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,PASAIA,,64,2,12444,6723,96,6627,177,6450,5721,1120,668,,394,,,,,1152,,,,207,,,,,,,2666,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,249,175,6,169,8,161,74,,37,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
