TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,EAE / ANV,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,PKD,ARALAR,ATTKA/PACMA,UCL,PUM+J,INNDE,EB / ARALAR,CDL,URE-EEB,EB / ARALAR / ZUTIK,EB / ZUTIK,IND. ALEGRIA-DUL. 07,IND. AÑANA 07,IND. ARMIÑON 07,IND. ARRAIA-MAEZ. 07,IND. 1 ASPARRENA 07,IND. 2 ASPARRENA 07,IND. ELCIEGO 07,IND. 1 IRUÑA OKA 07,IND. 2 IRUÑA OKA 07,IND. 3 IRUÑA OKA 07,IND. LABASTIDA 07,IND. 2 LAGRAN 07,IND. LANTARON 07,IND. 1 LEZA 07,IND. 2 LEZA 07,IND. RIBERA ALTA 07,IND. ZAMBRANA 07,IND. ZIGOITIA 07,IND. ZUIA 07,IND. VALDEGOVIA 07,IND. BALMASEDA 07,IND. 1 KARRANTZA 07,IND. 2 KARRANTZA 07,IND. SOPUERTA 07,IND. TURTZIOZ 07,IND. 1 ABANTO-Z. 07,IND. 2 ABANTO-Z. 07,IND. ALONSOTEGI 07,IND. ETXEBARRI 07,IND. MUSKIZ 07,IND. PLENTZIA 07,IND. SESTAO 07,IND. ZIERBENA 07,IND. ARTEA 07,IND. ELORRIO 07,IND. GARAI 07,IND. IGORRE 07,IND. OTXANDIO 07,IND. ZALDIBAR 07,IND. AMOROTO 07,IND. BERRIATUA 07,IND. EREÑO 07,IND. ERRIGOITI 07,IND. GIZABURUAGA 07,IND. IBARRANGELU 07,IND. ISPASTER 07,IND. MURUETA 07,IND. MUXIKA 07,IND. AZKOITIA 07,IND. BEIZAMA 07,IND. DEBA 07,IND. ERREZIL 07,IND. 1 EZKIO-ITS. 07,IND. 2 EZKIO-ITS. 07,IND. GABIRIA 07,IND. MUTILOA 07,IND. 1 ORMAIZTEGI 07,IND. 2 ORMAIZTEGI 07,IND. SEGURA 07,IND. ZEGAMA 07,IND. ZERAIN 07,IND. ELGETA 07,IND. ESKORIATZA 07,IND. LEINTZ-GATZ. 07,IND. MUTRIKU 07,IND. HONDARRIBIA 07,IND. IRUN 07,IND. LASARTE-ORIA 07,IND. OIARTZUN 07,IND. URNIETA 07,IND. ABALTZISKETA 07,IND. ALBIZTUR 07,IND. ALKIZA 07,IND. ALTZAGA 07,IND. ALTZO 07,IND. 1 AMEZKETA 07,IND. 2 AMEZKETA 07,IND. 1 ARAMA 07,IND. 2 ARAMA 07,IND. ASTEASU 07,IND. ATAUN 07,IND. BALIARRAIN 07,IND. 1 BELAUNTZA 07,IND. 2 BELAUNTZA 07,IND. 1 BERROBI 07,IND. 2 BERROBI 07,IND. GAINTZA 07,IND. 1 GAZTELU 07,IND. 2 GAZTELU 07,IND. HERNIALDE 07,IND. IDIAZABAL 07,IND. LARRAUL 07,IND. LEABURU 07,IND. OLABERRIA 07,IND. ORENDAIN 07,IND. PEÑACERRADA 07,IND. AGURAIN 07,IND. GORLIZ 07,IND. ABADIÑO 07,IND. 1 LAGRAN 07
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,486,424,10,414,1,413,62,239,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UBIDE,,88,3,134,111,6,105,1,104,23,36,4,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3388,2180,28,2152,35,2117,1208,917,138,223,,,,478,246,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDULIZ,,89,4,2739,1797,314,1483,31,1452,942,775,115,261,,,,,185,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3492,2410,561,1849,40,1809,1082,732,149,112,,,,,171,,,,,,,,,302,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,URKABUSTAIZ,,54,2,898,627,223,404,12,392,271,159,41,150,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URNIETA,,72,1,4686,2971,31,2940,51,2889,1715,691,116,,,,,499,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URRETXU,,77,3,5516,3693,30,3663,56,3607,1823,669,183,822,,,,918,757,,,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,USURBIL,,73,1,4683,3199,44,3155,37,3118,1484,266,81,647,48,,,1291,248,,,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,1024,750,7,743,10,733,274,306,,,,,,79,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10725,6812,47,6765,94,6671,3913,2287,366,103,376,,,722,2817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,VILLABONA,,75,3,4583,2602,41,2561,71,2490,1981,829,124,,,,,1088,245,,,,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,284,236,36,200,2,198,48,151,20,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,184989,115182,7249,107933,1885,106048,69807,23622,32101,6046,,,296,,33855,,,,,860,,716,490,8062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,YÉCORA/IEKORA,,60,2,267,227,4,223,4,219,40,86,114,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALDIBAR,,95,3,2378,1477,335,1142,10,1132,901,406,,261,,,,,296,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZALDIBIA,,78,3,1202,922,442,480,24,456,280,,8,,,,,,13,,,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZALDUONDO,,61,2,159,136,25,111,9,102,23,87,7,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALLA,,96,2,6744,4988,521,4467,99,4368,1756,2732,201,192,,,,,729,,,,,,,,,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,325,253,,253,2,251,72,114,41,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZAMUDIO,,905,4,2696,1806,348,1458,28,1430,890,1011,85,63,,,,,158,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1396,1000,129,871,12,859,396,349,13,403,,,,,66,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,17298,10903,1866,9037,219,8818,6395,2072,951,2155,,,,,1918,,,,,,,,,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEANURI,,24,3,1100,878,12,866,12,854,222,460,10,110,,,,259,5,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,905,637,206,431,30,401,268,381,6,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1143,883,30,853,22,831,260,,5,,,,,348,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZERAIN,,26,3,213,170,19,151,3,148,43,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZESTOA,,27,4,2789,1960,16,1944,11,1933,829,569,10,412,,,,824,57,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZIERBENA,,913,2,1143,929,21,908,10,898,214,397,20,,,,,155,51,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZIGOITIA,,18,2,1281,889,14,875,12,863,392,160,76,133,14,,,180,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,352,281,113,168,2,166,71,163,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,2214,1272,486,786,34,752,942,323,61,122,,,,,163,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1769,1270,141,1129,23,1106,499,379,135,133,,,,,104,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,7272,4462,33,4429,67,4362,2810,1158,158,763,,,,1062,602,,,,,,,,,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8439,5278,771,4507,101,4406,3161,828,321,437,,,,,2496,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
