TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,U.AL.,EA,EB-B,CDS,EKA,EHB,PST,AR,UVE,J.V.,EA-EE,LKI-EMK,IND. KANPEZU 91,IND. RIBERA ALTA 91,IND. AMOROTO 91,IND. ARRIETA 91,IND. BALMASEDA 91,IND. BERRIATUA 91,IND. KARRANTZA 91,IND. ELANTXOBE 91,IND. ERMUA 91,IND. ETXEBARRI 91,IND. GARAI 91,IND. GORDEXOLA 91,IND. GORLIZ 91,IND. GIZABURUAGA 91,IND. IBARRANGELU 91,IND. ISPASTER 91,IND. IZURTZA 91,IND. ORTUELLA 91,IND. SOPUERTA 91,IND. TURTZIOZ 91,IND. ZALDIBAR 91,IND. ABALTZISKETA 91,IND. ADUNA 91,IND. ALBIZTUR 91,IND. ARAMA 91,IND. BALIARRAIN 91,IND. BELAUNTZA 91,IND. 1 BERROBI 91,IND. 2 BERROBI 91,IND. BIDEGOIAN 91,IND. DONOSTIA-SS. 91,IND. ELDUAIN 91,IND. ESKORIATZA 91,IND. EZKIO-ITSASO 91,IND. GABIRIA 91,IND. 1 GAINTZA 91,IND. 2 GAINTZA 91,IND. HERNIALDE 91,IND. IKAZTEGIETA 91,IND. ITSASONDO 91,IND. LARRAUL 91,IND. LEABUR-GAZT.91,IND. LEINTZ-GATZ. 91,IND. LIZARTZA 91,IND. MUTILOA 91,IND. OLABERRIA 91,IND. ERRENTERIA 91,IND. ZALDIBIA 91,IND. ZEGAMA 91,IND. ZERAIN 91
Bizkaia,ZALLA,,96,2,5855,4107,78,4029,44,3985,1748,2080,644,93,440,180,,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,297,244,,244,1,243,53,163,,9,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZAMUDIO,,905,4,2665,1946,18,1928,34,1894,719,1163,193,,469,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1317,1029,23,1006,9,997,288,345,79,,160,,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,13085,8674,62,8612,78,8534,4411,1964,871,548,1496,894,,2761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEANURI,,24,3,1050,859,5,854,4,850,191,329,,,150,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,833,704,8,696,2,694,129,477,2,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1158,911,11,900,10,890,247,,,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,
Gipuzkoa,ZERAIN,,26,3,196,126,11,115,6,109,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
Gipuzkoa,ZESTOA,,27,4,2816,2091,14,2077,18,2059,725,664,60,,766,,,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZIGOITIA,,18,2,680,447,5,442,4,438,233,135,,,98,27,44,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,2059,1390,23,1367,14,1353,669,341,191,,445,113,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1058,804,16,788,15,773,254,283,,117,174,,134,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,6157,4086,52,4034,30,4004,2071,1534,641,,863,240,,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,9145,5925,61,5864,65,5799,3220,978,1688,,663,579,,1716,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
